Water_Temp,Avg_Wind,Gust,Wave_Height,Wave_Period,Gust_Dir
7.1 C,9kts,12kts,0.8m,3s,90 (E) at 12/04/2018 09:41:00
7.1 C,9kts,12kts,0.8m,3s,90 (E) at 12/04/2018 09:20:00
7.1 C,9kts,14kts,0.8m,4s,111 (E) at 12/04/2018 09:02:00
7.1 C,11kts,17kts,0.8m,4s,117 (SE) at 12/04/2018 08:44:00
7.1 C,11kts,16kts,0.9m,4s,86 (E) at 12/04/2018 08:23:00
7.1 C,11kts,16kts,0.8m,4s,88 (E) at 12/04/2018 08:05:00
7.1 C,10kts,15kts,0.8m,3s,114 (SE) at 12/04/2018 07:47:00
7.1 C,11kts,17kts,0.9m,4s,58 (NE) at 12/04/2018 07:26:00
7.1 C,11kts,16kts,1m,4s,92 (E),84 (E) at 12/04/2018 07:08:00
7.1 C,11kts,16kts,0.9m,4s,71 (E) at 12/04/2018 06:50:00
7.1 C,12kts,18kts,1.1m,4s,95 (E) at 12/04/2018 06:29:00
7.1 C,12kts,19kts,1.1m,4s,71 (E) at 12/04/2018 06:11:00
7.1 C,13kts,21kts,1.1m,4s,104 (E) at 12/04/2018 05:53:00
7.1 C,13kts,19kts,1m,4s,90 (E),80 (E) at 12/04/2018 05:32:00
7.1 C,15kts,21kts,0.8m,4s,91 (E) at 12/04/2018 05:14:00
7.1 C,14kts,20kts,0.9m,3s,80 (E) at 12/04/2018 04:56:00
7.1 C,14kts,20kts,1m,4s,46 (NE) at 12/04/2018 04:35:00
7.1 C,15kts,21kts,0.8m,3s,38 (NE) at 12/04/2018 04:17:00
7.1 C,15kts,21kts,0.8m,3s,69 (E) at 12/04/2018 03:59:00
7.1 C,13kts,17kts,0.7m,3s,100 (E) at 12/04/2018 03:38:00
7.1 C,12kts,16kts,0.6m,3s,84 (E) at 12/04/2018 03:20:00
7.1 C,12kts,17kts,0.6m,3s,85 (E) at 12/04/2018 03:02:00
7.1 C,12kts,16kts,0.6m,3s,70 (E) at 12/04/2018 02:41:00
7.1 C,13kts,23kts,0.7m,3s,95 (E) at 12/04/2018 02:23:00
7.1 C,14kts,18kts,0.5m,3s,79 (E) at 12/04/2018 02:05:00
7.1 C,13kts,17kts,0.5m,3s,73 (E) at 12/04/2018 01:44:00
7.1 C,13kts,16kts,0.5m,3s,83 (E) at 12/04/2018 01:26:00
7.1 C,12kts,16kts,0.5m,3s,77 (E) at 12/04/2018 01:08:00
7.1 C,11kts,14kts,0.6m,3s,86 (E) at 12/04/2018 00:47:00
7.1 C,12kts,16kts,0.6m,4s,73 (E) at 12/04/2018 00:29:00
7.1 C,10kts,14kts,0.5m,3s,75 (E) at 12/04/2018 00:08:00
7.1 C,10kts,12kts,0.4m,3s,83 (E) at 11/04/2018 23:50:00
7.1 C,10kts,13kts,0.4m,3s,74 (E) at 11/04/2018 23:32:00
7.1 C,9kts,13kts,0.4m,3s,76 (E) at 11/04/2018 23:11:00
7.1 C,8kts,11kts,0.5m,3s,62 (NE) at 11/04/2018 22:53:00
7.2 C,8kts,10kts,0.6m,3s,64 (NE) at 11/04/2018 22:35:00
7.2 C,9kts,13kts,0.6m,3s,91 (E) at 11/04/2018 22:14:00
7.3 C,9kts,13kts,0.6m,3s,91 (E) at 11/04/2018 21:56:00
7.3 C,9kts,13kts,0.6m,3s,76 (E) at 11/04/2018 21:38:00
7.3 C,9kts,13kts,0.7m,3s,81 (E) at 11/04/2018 21:17:00
7.1 C,10kts,13kts,0.6m,3s,61 (NE) at 11/04/2018 20:59:00
7.2 C,10kts,14kts,0.6m,3s,67 (NE) at 11/04/2018 20:41:00
7.1 C,12kts,16kts,0.6m,3s,79 (E) at 11/04/2018 20:20:00
7.1 C,12kts,16kts,0.6m,3s,75 (E) at 11/04/2018 20:02:00
7.1 C,12kts,16kts,0.7m,3s,60 (NE) at 11/04/2018 19:44:00
7.2 C,13kts,17kts,0.6m,3s,42 (NE) at 11/04/2018 19:23:00
7.2 C,13kts,17kts,0.6m,4s,67 (NE) at 11/04/2018 19:05:00
7.2 C,12kts,16kts,0.8m,4s,50 (NE) at 11/04/2018 18:47:00
7.3 C,12kts,16kts,0.8m,4s,50 (NE) at 11/04/2018 18:26:00
7.3 C,11kts,15kts,0.7m,4s,23 (NE) at 11/04/2018 18:08:00
7.3 C,12kts,16kts,0.8m,4s,50 (NE) at 11/04/2018 17:50:00
7.3 C,11kts,17kts,0.8m,4s,66 (NE) at 11/04/2018 17:29:00
7.1 C,12kts,17kts,0.8m,4s,39 (NE) at 11/04/2018 17:11:00
7.1 C,10kts,16kts,0.8m,4s,42 (NE) at 11/04/2018 16:53:00
7.1 C,7kts,13kts,0.8m,4s,50 (NE) at 11/04/2018 16:32:00
7.1 C,9kts,14kts,0.8m,4s,61 (NE) at 11/04/2018 16:14:00
7.1 C,11kts,15kts,0.7m,4s,47 (NE) at 11/04/2018 15:56:00
7.1 C,13kts,18kts,0.7m,4s,49 (NE) at 11/04/2018 15:35:00
